genre_kids,duration,genre_family,genre_international,genre_drama,title_len,release_year,director_freq_log,years_to_platform,has_kids_words,has_mature_words,is_long_duration,genre_comedy,description_len,genre_romantic,year_added,cast_count,genre_crime,is_movie,genre_horror,genre_action,month_added,rating
0,133.0,0,1,1,27,2010,1.9459101490553132,11,0,1,1,0,142,0,2021,8,0,1,0,0,8,teen
0,142.0,0,1,1,35,2013,1.9459101490553132,8,0,1,1,0,145,0,2021,10,0,1,0,0,8,teen
0,93.0,0,1,0,10,2011,0.6931471805599453,10,0,0,0,0,142,0,2021,7,0,1,1,0,8,adult
0,113.0,0,1,0,12,2014,0.6931471805599453,7,0,0,0,0,139,0,2021,8,0,1,1,0,8,adult
0,2.0,0,1,1,9,2016,7.850103545175582,5,0,1,0,0,133,0,2021,13,0,0,0,0,8,adult
0,3.0,0,1,0,12,2021,7.850103545175582,0,0,0,0,0,137,0,2021,13,0,0,0,0,8,teen
0,124.0,0,1,0,27,2021,0.6931471805599453,0,0,0,1,0,153,0,2021,13,0,1,0,1,8,adult
0,116.0,0,1,1,23,2007,1.0986122886681096,14,0,1,0,0,244,0,2021,12,0,1,0,1,8,adult
0,106.0,0,0,1,16,2011,0.6931471805599453,10,0,0,0,0,146,0,2021,10,0,1,0,0,8,teen
0,145.0,0,1,1,17,2011,1.9459101490553132,10,0,0,1,0,111,0,2021,7,0,1,0,0,8,teen
0,1.0,0,0,0,14,2021,7.850103545175582,0,1,0,0,0,149,0,2021,1,0,0,0,0,8,teen
0,1.0,0,1,0,10,2021,7.850103545175582,0,1,0,0,0,145,0,2021,9,0,0,0,0,8,teen
1,4.0,0,0,0,14,2021,7.850103545175582,0,1,0,0,0,146,0,2021,8,0,0,0,0,8,teen
0,93.0,0,0,0,43,2021,0.6931471805599453,0,0,0,0,0,148,0,2021,1,0,1,0,0,8,teen
0,1.0,0,0,1,9,2021,1.6094379124341003,0,1,1,0,0,143,0,2021,15,1,0,0,0,8,adult
0,1.0,0,1,0,45,2021,0.6931471805599453,0,0,1,0,0,143,0,2021,1,1,0,0,0,8,adult
